,YYYY.MM.DD.DOY.,yield,irrigation_demand,county_name,crop,lat_lon
1,1980-08-27(240),15147.19043,421.828766,Okanogan,Corn_grain,48.15625N119.71875W
2,1981-08-21(233),15926.3877,427.074036,Okanogan,Corn_grain,48.15625N119.71875W
3,1982-08-16(228),13489.79102,363.383331,Okanogan,Corn_grain,48.15625N119.71875W
4,1983-08-19(231),15263.73731,382.292114,Okanogan,Corn_grain,48.15625N119.71875W
5,1984-08-22(235),13779.91113,391.802673,Okanogan,Corn_grain,48.15625N119.71875W
6,1985-08-04(216),13920.44824,445.965393,Okanogan,Corn_grain,48.15625N119.71875W
7,1986-08-10(222),13722.78613,405.909058,Okanogan,Corn_grain,48.15625N119.71875W
8,1987-08-13(225),14043.31934,393.008881,Okanogan,Corn_grain,48.15625N119.71875W
9,1988-08-16(229),14365.99219,424.182007,Okanogan,Corn_grain,48.15625N119.71875W
10,1989-08-18(230),13565.94434,405.157379,Okanogan,Corn_grain,48.15625N119.71875W
11,1990-08-14(226),12872.875,385.648712,Okanogan,Corn_grain,48.15625N119.71875W
12,1991-08-19(231),14308.9541,377.364471,Okanogan,Corn_grain,48.15625N119.71875W
13,1992-08-05(218),12878.33301,331.857208,Okanogan,Corn_grain,48.15625N119.71875W
14,1993-08-17(229),16326.79199,350.894928,Okanogan,Corn_grain,48.15625N119.71875W
15,1994-08-09(221),13942.84961,412.341064,Okanogan,Corn_grain,48.15625N119.71875W
16,1995-08-15(227),14279.04102,389.375732,Okanogan,Corn_grain,48.15625N119.71875W
17,1996-08-18(231),14089.01367,411.801422,Okanogan,Corn_grain,48.15625N119.71875W
18,1997-08-18(230),15432.03906,376.910767,Okanogan,Corn_grain,48.15625N119.71875W
19,1998-08-08(220),12743.04785,331.235016,Okanogan,Corn_grain,48.15625N119.71875W
20,1999-08-24(236),14235.02832,409.907684,Okanogan,Corn_grain,48.15625N119.71875W
21,2000-08-17(230),14763.81445,416.722443,Okanogan,Corn_grain,48.15625N119.71875W
22,2001-08-15(227),15291.72656,423.438477,Okanogan,Corn_grain,48.15625N119.71875W
23,2002-08-14(226),13515.97461,418.662079,Okanogan,Corn_grain,48.15625N119.71875W
24,2003-08-06(218),13478.25488,422.993256,Okanogan,Corn_grain,48.15625N119.71875W
25,2004-08-09(222),13306.15234,389.310425,Okanogan,Corn_grain,48.15625N119.71875W
26,2005-08-13(225),14699.75195,401.772583,Okanogan,Corn_grain,48.15625N119.71875W
27,2006-08-07(219),13865.88574,387.842468,Okanogan,Corn_grain,48.15625N119.71875W
28,2007-08-08(220),13454.44043,393.656311,Okanogan,Corn_grain,48.15625N119.71875W
29,2008-08-12(225),15096.0625,434.888031,Okanogan,Corn_grain,48.15625N119.71875W
30,2009-08-04(216),14124.79981,414.530609,Okanogan,Corn_grain,48.15625N119.71875W
31,2010-08-18(230),14373.91406,403.557495,Okanogan,Corn_grain,48.15625N119.71875W
32,2011-08-26(238),15418.65234,426.787994,Okanogan,Corn_grain,48.15625N119.71875W
33,2012-08-14(227),13474.34473,349.939575,Okanogan,Corn_grain,48.15625N119.71875W
34,2013-08-10(222),13646.17383,400.795166,Okanogan,Corn_grain,48.15625N119.71875W
35,2014-08-05(217),13591.09375,389.473602,Okanogan,Corn_grain,48.15625N119.71875W
36,2015-07-26(207),11637.11621,380.321777,Okanogan,Corn_grain,48.15625N119.71875W
37,2016-08-13(226),14943.37402,403.366577,Okanogan,Corn_grain,48.15625N119.71875W
38,2017-08-08(220),13709.53125,420.657501,Okanogan,Corn_grain,48.15625N119.71875W
39,2018-08-07(219),15536.19336,448.912018,Okanogan,Corn_grain,48.15625N119.71875W
40,2019-08-09(221),14588.97949,425.089081,Okanogan,Corn_grain,48.15625N119.71875W
41,1980-09-10(254),15388.46289,384,Okanogan,Corn_grain,48.96875N119.65625W
42,1981-08-27(239),16368.91602,376,Okanogan,Corn_grain,48.96875N119.65625W
43,1982-08-23(235),13301.2207,296,Okanogan,Corn_grain,48.96875N119.65625W
44,1983-08-28(240),16489.55078,320,Okanogan,Corn_grain,48.96875N119.65625W
45,1984-08-31(244),13787.7002,352,Okanogan,Corn_grain,48.96875N119.65625W
46,1985-08-13(225),13424.77832,384,Okanogan,Corn_grain,48.96875N119.65625W
47,1986-08-17(229),14312.48535,384,Okanogan,Corn_grain,48.96875N119.65625W
48,1987-08-24(236),14123.3418,336,Okanogan,Corn_grain,48.96875N119.65625W
49,1988-08-27(240),14701.77051,400,Okanogan,Corn_grain,48.96875N119.65625W
50,1989-08-30(242),14870.94043,384,Okanogan,Corn_grain,48.96875N119.65625W
51,1990-08-23(235),13013.8584,336,Okanogan,Corn_grain,48.96875N119.65625W
52,1991-08-28(240),14650.50684,336,Okanogan,Corn_grain,48.96875N119.65625W
53,1992-08-14(227),13550.9541,272,Okanogan,Corn_grain,48.96875N119.65625W
54,1993-08-30(242),17866.1582,320,Okanogan,Corn_grain,48.96875N119.65625W
55,1994-08-18(230),13886.27539,376,Okanogan,Corn_grain,48.96875N119.65625W
56,1995-08-28(240),15034.63672,352,Okanogan,Corn_grain,48.96875N119.65625W
57,1996-08-27(240),14559.42773,384,Okanogan,Corn_grain,48.96875N119.65625W
58,1997-08-25(237),16117.01172,336,Okanogan,Corn_grain,48.96875N119.65625W
59,1998-08-14(226),13046.94922,312,Okanogan,Corn_grain,48.96875N119.65625W
60,1999-09-09(252),14432.71484,360,Okanogan,Corn_grain,48.96875N119.65625W
61,2000-08-28(241),15099.58106,400,Okanogan,Corn_grain,48.96875N119.65625W
62,2001-08-23(235),15866.76367,392,Okanogan,Corn_grain,48.96875N119.65625W
63,2002-08-22(234),13698.40234,392,Okanogan,Corn_grain,48.96875N119.65625W
64,2003-08-12(224),13012.73633,400,Okanogan,Corn_grain,48.96875N119.65625W
65,2004-08-15(228),13312.25195,352,Okanogan,Corn_grain,48.96875N119.65625W
66,2005-08-22(234),15176.01953,368,Okanogan,Corn_grain,48.96875N119.65625W
67,2006-08-14(226),13616.83496,352,Okanogan,Corn_grain,48.96875N119.65625W
68,2007-08-15(227),13292.56055,360,Okanogan,Corn_grain,48.96875N119.65625W
69,2008-08-18(231),15963.22559,408,Okanogan,Corn_grain,48.96875N119.65625W
70,2009-08-13(225),13059.22754,368,Okanogan,Corn_grain,48.96875N119.65625W
71,2010-08-30(242),14907.5293,392,Okanogan,Corn_grain,48.96875N119.65625W
72,2011-08-30(242),16533.98242,440,Okanogan,Corn_grain,48.96875N119.65625W
73,2012-08-17(230),13871.75,320,Okanogan,Corn_grain,48.96875N119.65625W
74,2013-08-12(224),13004.92676,344,Okanogan,Corn_grain,48.96875N119.65625W
75,2014-08-14(226),13270.83106,352,Okanogan,Corn_grain,48.96875N119.65625W
76,2015-08-04(216),12212.22559,344,Okanogan,Corn_grain,48.96875N119.65625W
77,2016-08-18(231),13540.8584,336,Okanogan,Corn_grain,48.96875N119.65625W
78,2017-08-12(224),13587.65918,408,Okanogan,Corn_grain,48.96875N119.65625W
79,2018-08-11(223),16134.57422,416,Okanogan,Corn_grain,48.96875N119.65625W
80,2019-08-13(225),14590.85254,392,Okanogan,Corn_grain,48.96875N119.65625W
81,1981-07-16(197),10366.39844,405.128357,Okanogan,Winter_Wheat,48.15625N119.71875W
82,1982-07-15(196),9457.986328,414.090546,Okanogan,Winter_Wheat,48.15625N119.71875W
83,1983-07-10(191),10061.19336,407.043427,Okanogan,Winter_Wheat,48.15625N119.71875W
84,1984-07-21(203),10281.16895,433.641724,Okanogan,Winter_Wheat,48.15625N119.71875W
85,1985-07-17(198),8995.089844,490.535095,Okanogan,Winter_Wheat,48.15625N119.71875W
86,1986-07-14(195),8952.376953,483.462463,Okanogan,Winter_Wheat,48.15625N119.71875W
87,1987-07-02(183),8872.629883,449.233368,Okanogan,Winter_Wheat,48.15625N119.71875W
88,1988-07-02(184),9600.966797,369.773621,Okanogan,Winter_Wheat,48.15625N119.71875W
89,1989-07-16(197),9374.800781,433.866516,Okanogan,Winter_Wheat,48.15625N119.71875W
90,1990-07-05(186),9798.738281,328.411163,Okanogan,Winter_Wheat,48.15625N119.71875W
91,1991-07-08(189),10281.00977,370.405884,Okanogan,Winter_Wheat,48.15625N119.71875W
92,1992-06-23(175),9679.865234,449.144653,Okanogan,Winter_Wheat,48.15625N119.71875W
93,1993-07-16(197),9187.69043,389.319489,Okanogan,Winter_Wheat,48.15625N119.71875W
94,1994-07-11(192),9713.485352,400.573608,Okanogan,Winter_Wheat,48.15625N119.71875W
95,1995-07-04(185),9961.395508,411.257568,Okanogan,Winter_Wheat,48.15625N119.71875W
96,1996-07-15(197),10185.79395,428.03894,Okanogan,Winter_Wheat,48.15625N119.71875W
97,1997-07-25(206),9400.491211,375.520386,Okanogan,Winter_Wheat,48.15625N119.71875W
98,1998-07-06(187),9592.926758,345.556946,Okanogan,Winter_Wheat,48.15625N119.71875W
99,1999-07-16(197),10261.41309,441.541931,Okanogan,Winter_Wheat,48.15625N119.71875W
100,2000-07-07(189),10146.68555,426.820007,Okanogan,Winter_Wheat,48.15625N119.71875W
101,2001-07-18(199),9665.266602,477.826477,Okanogan,Winter_Wheat,48.15625N119.71875W
102,2002-07-12(193),9913.212891,477.818115,Okanogan,Winter_Wheat,48.15625N119.71875W
103,2003-07-07(188),9778.816406,416.644348,Okanogan,Winter_Wheat,48.15625N119.71875W
104,2004-06-30(182),10060.78516,407.361084,Okanogan,Winter_Wheat,48.15625N119.71875W
105,2005-07-08(189),9948.705078,371.775391,Okanogan,Winter_Wheat,48.15625N119.71875W
106,2006-07-08(189),9762.585938,392.184937,Okanogan,Winter_Wheat,48.15625N119.71875W
107,2007-07-13(194),9856.399414,463.196594,Okanogan,Winter_Wheat,48.15625N119.71875W
108,2008-07-17(199),9299.320312,470.379578,Okanogan,Winter_Wheat,48.15625N119.71875W
109,2009-07-06(187),9703.055664,478.874542,Okanogan,Winter_Wheat,48.15625N119.71875W
110,2010-07-09(190),10713.64844,375.775574,Okanogan,Winter_Wheat,48.15625N119.71875W
111,2011-07-22(203),10101.11426,413.620239,Okanogan,Winter_Wheat,48.15625N119.71875W
112,2012-07-17(199),9671.439453,423.386505,Okanogan,Winter_Wheat,48.15625N119.71875W
113,2013-07-03(184),9643.489258,381.744354,Okanogan,Winter_Wheat,48.15625N119.71875W
114,2014-07-06(187),10076.6543,450.203064,Okanogan,Winter_Wheat,48.15625N119.71875W
115,2015-06-19(170),9262.867188,372.540253,Okanogan,Winter_Wheat,48.15625N119.71875W
116,2016-06-26(178),9408.008789,407.084473,Okanogan,Winter_Wheat,48.15625N119.71875W
117,2017-07-04(185),9699.069336,388.100708,Okanogan,Winter_Wheat,48.15625N119.71875W
118,2018-07-11(192),9240.329102,426.761505,Okanogan,Winter_Wheat,48.15625N119.71875W
119,2019-07-08(189),9537.6875,437.009583,Okanogan,Winter_Wheat,48.15625N119.71875W
120,1981-07-31(212),10589.4707,369.552887,Okanogan,Winter_Wheat,48.53125N119.59375W
121,1982-07-29(210),8937.667969,389.367493,Okanogan,Winter_Wheat,48.53125N119.59375W
122,1983-07-25(206),9727.40918,342.042694,Okanogan,Winter_Wheat,48.53125N119.59375W
123,1984-08-03(216),9333.15332,367.860626,Okanogan,Winter_Wheat,48.53125N119.59375W
124,1985-07-27(208),7832.006836,407.472839,Okanogan,Winter_Wheat,48.53125N119.59375W
125,1986-07-30(211),8023.29248,429.532928,Okanogan,Winter_Wheat,48.53125N119.59375W
126,1987-07-15(196),8720.053711,391.937469,Okanogan,Winter_Wheat,48.53125N119.59375W
127,1988-07-22(204),9971.100586,347.039886,Okanogan,Winter_Wheat,48.53125N119.59375W
128,1989-07-27(208),9687.779297,398.055634,Okanogan,Winter_Wheat,48.53125N119.59375W
129,1990-07-21(202),10064.52539,292.320404,Okanogan,Winter_Wheat,48.53125N119.59375W
130,1991-07-26(207),10120.98828,349.759308,Okanogan,Winter_Wheat,48.53125N119.59375W
131,1992-07-07(189),8923.71582,406.910065,Okanogan,Winter_Wheat,48.53125N119.59375W
132,1993-08-06(218),9503.443359,327.667419,Okanogan,Winter_Wheat,48.53125N119.59375W
133,1994-07-24(205),9941.849609,380.21698,Okanogan,Winter_Wheat,48.53125N119.59375W
134,1995-07-20(201),10063.09277,390.923096,Okanogan,Winter_Wheat,48.53125N119.59375W
135,1996-07-31(213),9583.253906,374.393372,Okanogan,Winter_Wheat,48.53125N119.59375W
136,1997-08-08(220),9529.750977,331.053375,Okanogan,Winter_Wheat,48.53125N119.59375W
137,1998-07-26(207),9059.033203,336.667419,Okanogan,Winter_Wheat,48.53125N119.59375W
138,1999-08-04(216),9859.875,444.972046,Okanogan,Winter_Wheat,48.53125N119.59375W
139,2000-07-24(206),10269.21582,419.351746,Okanogan,Winter_Wheat,48.53125N119.59375W
140,2001-08-03(215),9418.172852,431.7034,Okanogan,Winter_Wheat,48.53125N119.59375W
141,2002-07-27(208),9054.194336,433.059479,Okanogan,Winter_Wheat,48.53125N119.59375W
142,2003-07-22(203),9514.079102,414.748138,Okanogan,Winter_Wheat,48.53125N119.59375W
143,2004-07-26(208),9766.050781,415.687134,Okanogan,Winter_Wheat,48.53125N119.59375W
144,2005-07-23(204),10044.67285,363.586914,Okanogan,Winter_Wheat,48.53125N119.59375W
145,2006-07-23(204),9098.462891,375.817291,Okanogan,Winter_Wheat,48.53125N119.59375W
146,2007-07-25(206),9011.736328,420.180756,Okanogan,Winter_Wheat,48.53125N119.59375W
147,2008-08-01(214),8933.947266,431.682648,Okanogan,Winter_Wheat,48.53125N119.59375W
148,2009-07-23(204),9422.600586,445.99353,Okanogan,Winter_Wheat,48.53125N119.59375W
149,2010-07-25(206),10656.10449,342.744965,Okanogan,Winter_Wheat,48.53125N119.59375W
150,2011-08-10(222),10052.21387,363.709351,Okanogan,Winter_Wheat,48.53125N119.59375W
151,2012-07-31(213),9490.328125,358.450287,Okanogan,Winter_Wheat,48.53125N119.59375W
152,2013-07-17(198),9461.579102,344.254395,Okanogan,Winter_Wheat,48.53125N119.59375W
153,2014-07-20(201),9772.993164,404.52597,Okanogan,Winter_Wheat,48.53125N119.59375W
154,2015-07-01(182),9635.931641,343.176056,Okanogan,Winter_Wheat,48.53125N119.59375W
155,2016-07-12(194),9923.104492,357.44162,Okanogan,Winter_Wheat,48.53125N119.59375W
156,2017-07-20(201),9365.825195,364.389099,Okanogan,Winter_Wheat,48.53125N119.59375W
157,2018-07-22(203),9250.360352,402.916687,Okanogan,Winter_Wheat,48.53125N119.59375W
158,2019-07-21(202),9705.515625,416.270294,Okanogan,Winter_Wheat,48.53125N119.59375W
159,1980-09-09(253),11813.36719,330,WallaWalla,Corn_grain,46.03125N118.21875W
160,1981-08-30(242),11119.98926,300,WallaWalla,Corn_grain,46.03125N118.21875W
161,1982-08-26(238),9847.889648,240,WallaWalla,Corn_grain,46.03125N118.21875W
162,1983-08-28(240),12115.31543,300,WallaWalla,Corn_grain,46.03125N118.21875W
163,1984-08-31(244),10069.06641,270,WallaWalla,Corn_grain,46.03125N118.21875W
164,1985-08-23(235),7712.772461,210,WallaWalla,Corn_grain,46.03125N118.21875W
165,1986-08-20(232),11156.93945,300,WallaWalla,Corn_grain,46.03125N118.21875W
166,1987-08-28(240),11352.62988,300,WallaWalla,Corn_grain,46.03125N118.21875W
167,1988-08-28(241),9968.348633,300,WallaWalla,Corn_grain,46.03125N118.21875W
168,1989-09-05(248),10972.44824,330,WallaWalla,Corn_grain,46.03125N118.21875W
169,1990-08-25(237),7634.922363,240,WallaWalla,Corn_grain,46.03125N118.21875W
170,1991-09-01(244),10785.10156,300,WallaWalla,Corn_grain,46.03125N118.21875W
171,1992-08-18(231),10382.55664,240,WallaWalla,Corn_grain,46.03125N118.21875W
172,1993-09-03(246),14009.10645,300,WallaWalla,Corn_grain,46.03125N118.21875W
173,1994-08-21(233),8605.393555,240,WallaWalla,Corn_grain,46.03125N118.21875W
174,1995-09-02(245),11777.22656,270,WallaWalla,Corn_grain,46.03125N118.21875W
175,1996-08-28(241),10752.31836,300,WallaWalla,Corn_grain,46.03125N118.21875W
176,1997-08-24(236),12611.91992,330,WallaWalla,Corn_grain,46.03125N118.21875W
177,1998-08-22(234),9526.53125,270,WallaWalla,Corn_grain,46.03125N118.21875W
178,1999-08-30(242),11785.30469,360,WallaWalla,Corn_grain,46.03125N118.21875W
179,2000-08-27(240),8763.862305,240,WallaWalla,Corn_grain,46.03125N118.21875W
180,2001-08-26(238),10463.40625,300,WallaWalla,Corn_grain,46.03125N118.21875W
181,2002-08-25(237),10942.26758,330,WallaWalla,Corn_grain,46.03125N118.21875W
182,2003-08-19(231),8858.876953,270,WallaWalla,Corn_grain,46.03125N118.21875W
183,2004-08-21(234),9538.293945,270,WallaWalla,Corn_grain,46.03125N118.21875W
184,2005-08-23(235),11267.06934,360,WallaWalla,Corn_grain,46.03125N118.21875W
185,2006-08-20(232),10137.55566,270,WallaWalla,Corn_grain,46.03125N118.21875W
186,2007-08-19(231),9716.932617,270,WallaWalla,Corn_grain,46.03125N118.21875W
187,2008-08-25(238),8256.004883,240,WallaWalla,Corn_grain,46.03125N118.21875W
188,2009-08-20(232),10557.33106,300,WallaWalla,Corn_grain,46.03125N118.21875W
189,2010-09-05(248),9756.083008,300,WallaWalla,Corn_grain,46.03125N118.21875W
190,2011-09-10(253),11895.66113,360,WallaWalla,Corn_grain,46.03125N118.21875W
191,2012-08-28(241),10824.30078,270,WallaWalla,Corn_grain,46.03125N118.21875W
192,2013-08-21(233),8933.939453,240,WallaWalla,Corn_grain,46.03125N118.21875W
193,2014-08-17(229),10651.44141,330,WallaWalla,Corn_grain,46.03125N118.21875W
194,2015-08-05(217),5909.680176,180,WallaWalla,Corn_grain,46.03125N118.21875W
195,2016-08-27(240),11672.60645,330,WallaWalla,Corn_grain,46.03125N118.21875W
196,2017-08-22(234),9282.505859,270,WallaWalla,Corn_grain,46.03125N118.21875W
197,2018-08-22(234),9878.321289,330,WallaWalla,Corn_grain,46.03125N118.21875W
198,2019-08-28(240),11113.35742,330,WallaWalla,Corn_grain,46.03125N118.21875W
199,1980-09-10(254),12988.31738,433.880096,WallaWalla,Corn_grain,46.28125N118.65625W
200,1981-09-01(244),13176.18652,434.721313,WallaWalla,Corn_grain,46.28125N118.65625W
201,1982-08-26(238),11972.65723,376.667389,WallaWalla,Corn_grain,46.28125N118.65625W
202,1983-08-29(241),13456.93555,411.151733,WallaWalla,Corn_grain,46.28125N118.65625W
203,1984-09-01(245),11948.41992,416.755951,WallaWalla,Corn_grain,46.28125N118.65625W
204,1985-08-23(235),11844.79004,438.867218,WallaWalla,Corn_grain,46.28125N118.65625W
205,1986-08-22(234),12810.99805,429.748749,WallaWalla,Corn_grain,46.28125N118.65625W
206,1987-08-29(241),12425.32227,399.835114,WallaWalla,Corn_grain,46.28125N118.65625W
207,1988-08-27(240),12646.63379,436.833405,WallaWalla,Corn_grain,46.28125N118.65625W
208,1989-09-04(247),12880.21191,432.542389,WallaWalla,Corn_grain,46.28125N118.65625W
209,1990-08-24(236),11068.8457,410.101868,WallaWalla,Corn_grain,46.28125N118.65625W
210,1991-08-31(243),12232.41309,403.47522,WallaWalla,Corn_grain,46.28125N118.65625W
211,1992-08-17(230),11685.02832,369.830139,WallaWalla,Corn_grain,46.28125N118.65625W
212,1993-09-02(245),14463.79199,395.126068,WallaWalla,Corn_grain,46.28125N118.65625W
213,1994-08-21(233),12207.2002,435.720154,WallaWalla,Corn_grain,46.28125N118.65625W
214,1995-09-02(245),13128.45117,391.434326,WallaWalla,Corn_grain,46.28125N118.65625W
215,1996-08-29(242),12479.73438,412.475891,WallaWalla,Corn_grain,46.28125N118.65625W
216,1997-08-25(237),13057.29785,393.114044,WallaWalla,Corn_grain,46.28125N118.65625W
217,1998-08-23(235),10904,369.140961,WallaWalla,Corn_grain,46.28125N118.65625W
218,1999-09-03(246),12704.33594,431.391205,WallaWalla,Corn_grain,46.28125N118.65625W
219,2000-08-28(241),12842.41992,432.772705,WallaWalla,Corn_grain,46.28125N118.65625W
220,2001-08-27(239),12877.08008,428.548859,WallaWalla,Corn_grain,46.28125N118.65625W
221,2002-08-26(238),12224.43652,414.314301,WallaWalla,Corn_grain,46.28125N118.65625W
222,2003-08-19(231),12251.32129,455.953064,WallaWalla,Corn_grain,46.28125N118.65625W
223,2004-08-21(234),11831.09961,417.263306,WallaWalla,Corn_grain,46.28125N118.65625W
224,2005-08-23(235),12456.41113,455.278992,WallaWalla,Corn_grain,46.28125N118.65625W
225,2006-08-20(232),12207.26563,414.110809,WallaWalla,Corn_grain,46.28125N118.65625W
226,2007-08-21(233),12701.68066,430.699402,WallaWalla,Corn_grain,46.28125N118.65625W
227,2008-08-25(238),12924.77734,452.130005,WallaWalla,Corn_grain,46.28125N118.65625W
228,2009-08-20(232),12633.14746,428.509705,WallaWalla,Corn_grain,46.28125N118.65625W
229,2010-09-02(245),12414.77148,433.258545,WallaWalla,Corn_grain,46.28125N118.65625W
230,2011-09-10(253),13461.63184,454.989899,WallaWalla,Corn_grain,46.28125N118.65625W
231,2012-08-28(241),12174.80762,371.709076,WallaWalla,Corn_grain,46.28125N118.65625W
